name,text,link
Fiba Banka Kredi,"Vatan Telefon Kredisi için başvuruyorum, Kredi başvurunuzu bankamız veri tabanında kredi performansınıza ilişkin yeterli bilgi olmaması nedeniyle şu anda olumlu değerlendiremiyoruz uyarısı ile karşılaşıyorum. Bu mesajın detayı nedir, nasıl yararlanabilirim bilmiyorum. Müşteri hizmetleri hem sık sık ...",https://www.sikayetvar.com/fibabanka/fiba-banka-kredi
Kredi Kayıt Bürosu Sicil Affından Yararlanmak İstiyorum,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-sicil-affindan-yararlanmak-istiyorum-81
Sicil Affı KKB,"Geçmişte yaptığım kart başvuruları, kredi başvuruları, avans, esnek hesap başvurusu sicilimi oldukça etkiledi ama yaptığım hatalarımı düzelterek durumu bir hayli topladım ama sayıca fazla red başvurusu olduğu için bankalar tarafından güvensiz gözükmeme sebep oluyor. Sizlerden ricam olumsuz sonuçlana...",https://www.sikayetvar.com/kredi-kayit-burosu/sicil-affi-kkb-7
Papara Anonim Şirketi Şikayetçiyim,"Papara sisteminde olan haksızlık maalesef benim başıma da geldi. Papara şirketi tarafından açılan hesabımı bilgilerimi vererek kapattım. Kimlik kartımı iptal ettirdim. Banka hesabımı iptal ettirdim. Karakola, CİMER e numaralarını vererek şikayette bulundum. Benim adıma islak imzam olmadan ya da tele...",https://www.sikayetvar.com/papara/papara-anonim-sirketi-sikayetciyim-1
KKB Sicil Affı Sicilimin Düzeltilmesini Talep Ediyorum,"Sicil Geçmişi Düzeltilmesi! 
Geçmişe dönük bütün borçlarımı ödeyip kapattım şu an gecikmem yok ama kredi kayıt bürosunca puanım düşük ve sicilim bozuk olarak gözüküyor hala bunun kaldırılmasını talep ediyorum. 
Kredi Kayıt Bürosu Kredi Sicil Affından Yararlanmak İstiyorum. 
Bireysel bankacılık ve si...",https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicil-affi-sicilimin-duzeltilmesini-talep-ediyorum
Kredi Kayıt Bürosu Kredi Sicil Af,Bankalarda bulunan sicil kaydının 01.10.2022 tarihinde çıkan sicil afin dan yararlanmak istiyorum Haziran ayında tüm borcumu ödedim kapatım icra dosyamı kapatım ama hiçbir şekilde bankalardan onaylamıyor sizlerden ricam yeni çıkan sicil affından yararlanmak istiyorum en kısa sürede teşekkürler ☺️,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-sicil-af
KKB Sicilimin Güncellenmesi,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicilimin-guncellenmesi-2
KKB Sicil Affı,"Türkiye'de faaliyet gösteren tüm devlet ve özel bankalar nezdinde borcumun olmamasına rağmen kredi, kredi kartı KMH başvurularım reddedilmektedir. 01.10.2022 tarihinden itibaren sicil affım ile KKB ® puanımın kredi, kredi kartı ve KMH olarak başvuruların kabul edilmesini talep ediyorum. Tarihinden ö...",https://www.sikayetvar.com/kredi-kayit-burosu/kkb-sicil-affi-150
Papara Hesabına Banka Kartı Ekleme,"Papara hesabıma para yüklemek için hesabıma banka kartımı kaydetmek istiyorum fakat 1₺ tutarındaki kayıt işlemi sonrasında işlem başarısız oluyor, ve ...",https://www.sikayetvar.com/papara/papara-hesabina-banka-karti-ekleme
VakıfBank Banka Kesinti Ücreti,VakıfBank SWİFT ücret 2500 para kesti insanları bu şekilde bu ekonomide yazık günah değil mi herkes parayı kolay kazanmıyor geri iade edilmesini istiyorum. Hesabıma ben parayı yoldan bulmadım. Bu şekilde banka insanlara hizmet vermesin verecekse eğer bu kadar kesinti nedir ya,https://www.sikayetvar.com/vakifbank/vakifbank-banka-kesinti-ucreti
Findeks Kredi Puanımı Düşürüyorlar!,"Ödemelerimi Düzenli şekilde yaptığım halde Findeks 2 aydır beni gecikmede gösteriyor ve bankaları aradığımda, gecikmede ürünümün olmadığı söylensede Findeks'te gecikmede gözüktüğüm için puanım çok düştü. Her Ay aynı hatayı yapıyorlar. Gecikmede değilim ama gecikmedeymişim gibi puanım yerlerde Mağdur...",https://www.sikayetvar.com/findeks/findeks-kredi-puanimi-dusuruyorlar
Papara Havale İşlemi Yapmak İstiyorum,Papara hesabıma Ziraat Bankası'ndan bir. Havale gerçekleştirdim Ve Papara hesabıma hala bir para gelmedi. Bu durum için ne yapmam gerekiyor. Yardımcı olabilir misiniz. Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara Papara,https://www.sikayetvar.com/papara/papara-havale-islemi-yapmak-istiyorum
Kredi Kayıt Bürosu Sicil Affından Yararlanmak İstiyorum,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-sicil-affindan-yararlanmak-istiyorum-80
QNB Finansbank Hesap Aktif Edilememesi İnternet Bankacılığı Şifresi Alınamaması Hk.,Daha önce kullandığım ve sonrasında yenilemeye çalıştığım telefon numaram üzerinden bankacılık işlemleri için İnternet mobil üzerinden İnternet şifresini girdiğim bilgilerim üzerinden devamı tamamlanmıyor. Yeni hesap açılımı üzerinden çift hat kullandığım için diğer telefon numaram üzerinden denemem...,https://www.sikayetvar.com/qnb-finansbank/qnb-finansbank-hesap-aktif-edilememesi-internet-bankaciligi-sifresi-alinamamasi-hk
Kredi Kayıt Bürosu Kredi Sicil Affı,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-sicil-affi-220
Kredi Kayıt Bürosu Kredi Sicil Affı,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-sicil-affi-219
Kuryenet Banka Kartı Teslimat,Kuryenet e verilen 3200376010574 takip numaralı Halkbank kartım dağıtıma çıktığı günlerde evde olduğum halde tarafıma teslim edilmiyor dağıtımda deyip sonra teslim edilmedi gösteriyorlar oysa ben tüm gün evde oluyorum o günlerde. İkidir aynı şikayet artık kartımı şubeye yönlendirdim oradan alacağım....,https://www.sikayetvar.com/kuryenet/kuryenet-banka-karti-teslimat-2
Findeks Kredi Puanım Artmıyor,"Findeks puanım, kredi kartlarımın limitlerin artmasına ve borçları gününde ödememe rağmen artmıyor. Yaklaşık 2 yıldır çok düşük bir seviyede. Farklı bankalar bana bu yüzden kredi kartı vermemektedir. Bu sorunun çözülmesi için yardımlarınızı rica ediyorum.",https://www.sikayetvar.com/findeks/findeks-kredi-puanim-artmiyor-9
VakıfBank Onay Olmadan Limit Arttırımı Yapıyor,Talep etmediğim halde VakıfBank limit arttırımı yapıyor. Onayım olmadan bu işlemi neden gerçekleştiriyor sunuz. Sizin yüzünden diğer banka kartlarımda limit sorunu yaşıyorum. Arttırılan limitin hemen geri alınmasını istiyorum aksi halde kredi kartını iptal edeceğim bilginiz olsun,https://www.sikayetvar.com/vakifbank/vakifbank-onay-olmadan-limit-arttirimi-yapiyor
Kuryenet Kurye Uğramadığı Adresi Geldik Adreste Bulamadık Diye Mesaj Düşürüyor,Eve getirmediği kredi kartını işini savsakladığını gizlemek için banka sistemlerine adresine uğradık. Şahsı adreste bulamadık şeklinde mesaj düşüren kurye ayrıca telefonla kendisini aradığımızda ev adresi vermiş olmamıza rağmen iş yeri adresi isteyip evde diretince biz bu hafta içinde getireceğiz şe...,https://www.sikayetvar.com/kuryenet/kuryenet-kurye-ugramadigi-adresi-geldik-adreste-bulamadik-diye-mesaj-dusuruyor
VakıfBank Bankomat Para Kampanyasında Paramın Hiç Edilmesi,"VakıfBank bankomat kartta yapılan ""4 kez 250 TL akaryakıt alışverişine 75 TL bankomat para""kampanyasında sorun yaşadım. Son alışverişim banka uygulamasında ""... Petrol"" olarak gözükmesine rağmen kampanyaya dahil edilmemiş. Müşteri hizmetlerine durumu sorduğumda pos cihazı kodunun çeşitli yiyecek ola...",https://www.sikayetvar.com/vakifbank/vakifbank-bankomat-para-kampanyasinda-paramin-hic-edilmesi
VakıfBank Click Kart Başvurusu Sıkıntısı,"VakıfBank kampanya düzenliyor
2000 push teklifi yapıyor
Click kart ve sonrası bana ret geliyor ve benim herhangi bir sıkıntım yok bankalarla. Kredi notumu düşürüyor ret vererek.
Beni o zamana bu kampanyaya sokmayın. Red vereceksiniz. Bir an önce çözülmesini istiyorum.",https://www.sikayetvar.com/vakifbank/vakifbank-click-kart-basvurusu-sikintisi
VakıfBank Komisyon Ve Saklama Ücreti,VakıfBank maaş müşterisiyim ve İnternet bankacılığı kullanıyorum yatırım hesabı açtım ve borsada işlem yapıp hisse senedi aldım fakat benden her ay 3 TL komisyon ve saklama ücreti kesiliyor hisse senedi satışında zaten banka komisyon alıyor kesilen paraların iadesini talep ediyorum,https://www.sikayetvar.com/vakifbank/vakifbank-komisyon-ve-saklama-ucreti
QNB Finansbank Banka Kredisi Hakkında,QNB Finansbank'tan kullanmış olduğum kredi ödememde kredi faiz oranında artış olduğu söylenip ödediğim kredi tutarını arttırarak değiştirmişlerdir. Ben krediyi çekeli yaklaşık 8 ay kadar olmuştur. Kredi tutarımın eski haline getirilmesini aksi halde Tüketici Hakları'na kadar gideceğimi bildirmek ist...,https://www.sikayetvar.com/qnb-finansbank/qnb-finansbank-banka-kredisi-hakkinda
Papara Kartımın İptal Olmasını İstiyorum,14.10.2022 tarihinde evde ek iş adı altında tarafıma Papara uygulamasından banka hesabı açmam gerektiği söylendi. Kimlik bilgilerimi girdikten sonra hesaba benim telefonuma gelen kodu girmem gerekirken onların telefonlarına gelen kodları girdim. Bilgiler bana ait fakat telefon numarası ve mail adres...,https://www.sikayetvar.com/papara/papara-kartimin-iptal-olmasini-istiyorum
Kredi Kayıt Bürosu Kredi Notu Düzeltilmesi,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-notu-duzeltilmesi-4
Kredi Kayıt Bürosu Kara Listeden Çıkmak,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kara-listeden-cikmak-2
MNG Kargo Fazladan Tahsilat Hatası,MNG Kargo'dan 26 Ekim de gelen kapıda ödemeli kargomuzun teslimi sırasında o gün sistem arızası olduğu söylenen nedenden dolayı banka kartımdan 414 TL fazla tahsilat yaptılar. Hatayı kabul etmelerine rağmen 1 haftadır para iadem gerçekleşmedi. Acil çözüm talep ediyorum,https://www.sikayetvar.com/mng-kargo/mng-kargo-fazladan-tahsilat-hatasi
QNB Finansbank Günlük Limit Sorunu,QNB ATM den günlük para çekme limitini arttırmadıkları için ödemelerim gecikiyor müşteri hizmetleri ile yaptığım görüşmelerden de sonuç alamadım. İnsanın kendi parasını çekememesi gerçekten çok saçma bir durum. İş yeri bu banka ile çalıştığını için mağdur oluyoruz,https://www.sikayetvar.com/qnb-finansbank/qnb-finansbank-gunluk-limit-sorunu
VakıfBank İznim Dışı Dolar Harcaması 2 Aydır Sonuçlanmadı,VakıfBank word karttan iznim dışında yurt dışı 94usd işlem yapıldığını gördüm hemen VakıfBank'ı aradım işlem henüz provizyonda görünüyordu Amerika'da bir araba parçası alındığını gördüm bankaya gittim bununla alakalı form doldurdum ve yetkililerle görüştüm 2aydır cevap bekliyorum mağduriyet yaşıyoru...,https://www.sikayetvar.com/vakifbank/vakifbank-iznim-disi-dolar-harcamasi-2-aydir-sonuclanmadi
,,
Kuryenet 15 Gündür Teslim Edilmeyen Kargo,Denizbank aracılığıyla banka kartı talebimi Kuryenet üzerinden kargolanıp teslim edileceği söylenildi ama 15 gündür Kargom hala elime ulaşmadı. Takip adresinden kontrol etmeme rağmen yazan şey geldik ulaşamadık ibaresi ne bir arayan var ne bir soran Çok mağdurum müşteri hizmetlerine de bağlanılamıyo...,https://www.sikayetvar.com/kuryenet/kuryenet-15-gundur-teslim-edilmeyen-kargo
VakıfBank Maaş Müşterisi EFT Ücreti,"Maaş müşterisi olduğum ve hiçbir işlem ücreti ödemediğim VakıfBank, bugün kendime ait başka banka hesabına para göndermem sonucu 61 TL masraf kesti. Daha önce daha yüksek tutarlarda bile ücret ödemedim. Tutarın tarafıma iadesini talep ediyorum. İyi çalışmalar",https://www.sikayetvar.com/vakifbank/vakifbank-maas-musterisi-eft-ucreti-1
Mefete Banka Havalesi İle Yaptığım Transfer Hâlâ Hesabıma Gelmedi,"Yapı Kredi hesabımdan Mefete hesabıma transfer ettiğim param Mefete hesabıma gelmiyor 

Mefete hesap no 9437244062
Acil yardımcı olursanız sevinirim
Gösterdiği şekilde vermiş olduğu bilgileri girerek yatırım yaptım neden geçmiyor hesaba 
Böyle bir saçmalık olamaz",https://www.sikayetvar.com/mefete/mefete-banka-havalesi-ile-yaptigim-transfer-hala-hesabima-gelmedi
Fibabanka Havale Ettiğim Para Karşı Tarafa Ulaşmadı,Ziraat bankasından fibabankası na havale ettiğim para 3 gün geçmesine rağmen Fibabanka müşterisinin hesabına geçmedi hiçbir bilgilendirme yapılmıyor müşteri temsilcisine bağlanamıyorum. Ziraat bankasını aradığımda paranın fibabankası na geçtiğini söyledi,https://www.sikayetvar.com/fibabanka/fibabanka-havale-ettigim-para-karsi-tarafa-ulasmadi
VakıfBank Ve Avukatları Ödemesini Yaptığım İcra Dosyamı Kapatmıyorlar,VakıfBank'tan 2017 yılında kredi kartımla alakalı borçlanmadan dolayı icralık oldum. Bütün borcumu şubeden elden bir ödeme sağladım fakat. Daha sonra VakıfBank'ın mevcut hukuk bürosu ile anlaşmayı sonlandırması durumunda sinerji hukuk bürosu işlemler sonlandırıldı. Daha sonrasında nisan ayında icra ...,https://www.sikayetvar.com/vakifbank/vakifbank-ve-avukatlari-odemesini-yaptigim-icra-dosyami-kapatmiyorlar
Denizbank Kredi Kartı Alışverişinde Açıklanamayan Kur Farkı,"Denizbank kredi kartımla yapmış olduğum yurt dışı alışverişinde sebebi açıklanamayan kur farkı nedeniyle yaklaşık 1000 TL zararım bulunmaktadır. Alışveriş yapmış olduğum tutar 1099 Pound ve onay bekleyen işlemlerde 23.331,14 TL idi.
Harcama dönemiçi işlemlere düştüğünde 24.406,13 TL olarak yansıdı.
...",https://www.sikayetvar.com/denizbank/denizbank-kredi-karti-alisverisinde-aciklanamayan-kur-farki
Sicil Affı Kredi Kayıt Bürosu Sicilinin Temizlenmesini Talep Ediyorum,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,https://www.sikayetvar.com/kredi-kayit-burosu/sicil-affi-kredi-kayit-burosu-sicilinin-temizlenmesini-talep-ediyorum
QNB Finansbank Emekli Promosyon İşlemleri,"Merhaba 
anne ve babamın emekli maaşlarını QNB finans banka taşıyarak promosyondan faydalanmaları için eylül ayı sonu QNB Finansbank müşteri hizmetlerini aradım nasıl işlem yapmamız gerektiğini sordum görüntülü görüşme ile maaş hesabı taşıma işlemleri yapılabildiği söylendi. Bize söylenen şekilde on...",https://www.sikayetvar.com/qnb-finansbank/qnb-finansbank-emekli-promosyon-islemleri-1
,,
Kredi Kayıt Bürosu Kredi Kredi Kartı KMH Onaylanmaması,"Türkiye'de faaliyet gösteren tüm devlet ve özel bankalar nezdinde borcumun olmamasına rağmen kredi, kredi kartı KMH başvurularım reddedilmektedir. 01.10.2022 tarihinden itibaren sicil affım ile KKB ® puanımın kredi, kredi kartı ve KMH olarak başvuruların kabul edilmesini talep ediyorum. Tarihinden ö...",https://www.sikayetvar.com/kredi-kayit-burosu/kredi-kayit-burosu-kredi-kredi-karti-kmh-onaylanmamasi
QNB Finansbank Ek Hesap Sorunu,Maaş müşterisi olmam halinde halen daha ek hesap veya kredi kartı alamıyorum. Diğer bankalar kart verirken QNB Finansbank hiç umursamıyor. Başvuru yaptığım zaman beni şubelere yönlendiriyorlar. Daha önceden yaşamış olduğum bazı banka sıkıntıları yüzünden kart verilmediğini belirtiyorlar,https://www.sikayetvar.com/qnb-finansbank/qnb-finansbank-ek-hesap-sorunu-9
Fibabanka Görünmeyen Faiz Uygulaması,Kredisini kullandığım banka kartında krediyi kapatıp hesabı hesap kesiminden önce 0 a 0 yapmama rağmen görünmeyen faiz alınıyor pek kullanmadığım hesap zaten bakmasan eksiye düşürüp boşu boşuna hem paramı hem de kredi notumu düşürecekler. Güzel düzen,https://www.sikayetvar.com/fibabanka/fibabanka-gorunmeyen-faiz-uygulamasi
Papara Onaysız Hesap İçindeki Bakiye,Selamlar. Papara 2127000735 numaralı Papara hesabım vardı. Sonrasında ben bu hesabı bloke ettirdim. Aradan uzun zaman geçtikten sonra yeni bir Papara hesabı açtım ve 2045138908 numaralı Papara hesabımı onaylamaya çalıştığımda kimlik bilgilerim diğerinde kayıtlı olduğu için onaylayamadım. İstemsiz bi...,https://www.sikayetvar.com/papara/papara-onaysiz-hesap-icindeki-bakiye
İş Bankası Kur Korumalı Mevduat Hesabı,"İş Bankası'nda kur korumalı mevduat hesabı açmıştım. Vade dolunca sadece faiz ödemesi yapılıp, kur farkından olan ödeme tarafıma yapılmamıştır. Banka ile yapmış olduğum görüşme ile kayıt oluşturulmasına rağmen 1 haftadır sorunum çözülmemiştir. Bu bağlamda Bankadan şikayetim var.",https://www.sikayetvar.com/is-bankasi/is-bankasi-kur-korumali-mevduat-hesabi
Kuryenet İle İlgili Şikayet,Denizbank tan almış olduğum kartımı Kuryenet 2 aydır bana ulaştıramadı. Dağıtıma çıktı adreste bulamadık bizde değildir. Gibi bahaneler ile otomatik cevap veren bir sistem karşımızda muhatap olacak kimse yok banka ile iletişime geçtim kurye nette olduğunu söyledi fakat Kuryenet firmasında muhatap ol...,https://www.sikayetvar.com/kuryenet/kuryenet-ile-ilgili-sikayet
Vivense.com'dan Şikayetçiyim Ücret Kesmesine Rağmen Sipariş Geçilmemiş,Vivense'den ürün sipariş ettim üye olmadan devam ettim sipariş için ücreti öderken hata aldım. Banka hareketlerine bakınca parayı kesmiş ama siparişi vermemiş. Müşteri hizmetlerini aradım telesekreter sürekli farklı bir yere yönlendiriyor muhatap bulamıyorum.,https://www.sikayetvar.com/vivense/vivensecomdan-sikayetciyim-ucret-kesmesine-ragmen-siparis-gecilmemis
Binbin Usulsüz Ceza Kesti,Dün gece binbin kullandım ve olması gerektiği gibi park ettim. Sonrasında sürüşü bitir seçeneğine bastım ve sürüşü bitirdim. Herhangi bir uyarı vermedi ve yeni sürüşe başlama ekranı çıktı. Ve cihazın ışıkları kilitlenince yandığı şekilde yanıyordu. 25₺ cezai işlem uygulanmış. Sorunun derhal çözülmes...,https://www.sikayetvar.com/binbin/binbin-usulsuz-ceza-kesti-1
İş Bankası İstanbul/Cevizli Promosyon Hatası,26 Eylül'de promosyon alabilmek için İstanbul Kartal Çınar Caddesi'indeki �ş Bankası'na başvuruda bulundum 28 Ekim'de maaşımın ve promosyonumu yatacağını belirttiler. Bunun üzerine 1 Kasım'da paramı çekmek için gittiğimde maaş geçişimin olduğunu ama promosyon ücreti alabilmek için başvuru yapılırken...,https://www.sikayetvar.com/is-bankasi/is-bankasi-istanbulcevizli-promosyon-hatasi
VakıfBank ATM'sinin Paramı Yutması,"Ben VakıfBank ATM'sinden Tosla kartıma 60 TL para yatıracaktım.
Banka kartımı yuttu ve bankanın müşteri hizmetlerini aradım. Yaklaşık 2 saat boyunca Tosla ve VakıfBank'ın müşteri hizmetleriyle konuştum. Tosla müşteri hizmetleri VakıfBank adına işlem başlattı. Bankada İşleminiz devam etmekte yazısı g...",https://www.sikayetvar.com/vakifbank/vakifbank-atmsinin-parami-yutmasi-6
İş Bankası Aranmamak Telefonları Açmamak,İş Bankası altıyol şubesini arıyorum ulaşamıyorum mesaj atıyorum ulaşamıyorum beni arayın diyorum arayan yok bireysel bankacılıkla görüşme yapacağım görüşemiyorum bir çok kez aradım şikayet etmek istemezdim başka yol bırakmadılar müşteri seçiyorlar sanırım,https://www.sikayetvar.com/is-bankasi/is-bankasi-aranmamak-telefonlari-acmamak
Obilet Otobüs Bileti İptali,23.10.2022'de yanlışlıkla 2 bilet aldım ve iptalini sağladım. 1-7 iş günü içerisinde ücret iadesinin bankaya yapılacağı bilgisi verildi. Banka kredi kartı bilgilerimi kontrol ettiğimde herhangi bir geri ödemenin yapılmadığını gözlemlemekteyim. PNR : 3049278 ve PNR : 3049300 ait bilet tutarlarının ta...,https://www.sikayetvar.com/obilet/obilet-otobus-bileti-iptali-18
İş Bankası Yapılandırma Bitti Ama Kartı Kullanamıyorum,Kredi kartı yapılandırma borcu bittiğinde kartınız kullanıma açılacaktır denilmişti. Hızır borç yapılandırma yapmıştım borcu yeni bitti ama kartımı kullanıma açmıyorlar madem açılmayacaktı neden baştan söylemiyorsunuz yapılandırma yapmazdım. Müşteri hizmetleri ilgilenmiyor.,https://www.sikayetvar.com/is-bankasi/is-bankasi-yapilandirma-bitti-ama-karti-kullanamiyorum
Halkbank Kur Korumalı Faizin Ödenmemesi,Halkbank Karaman Şubesi Kur korumalı faizin yatırılmaması. 3ay önce kur korumalı hesaba 389bin tl yatırdım. Dolar kuru o gün için 17. Tl idi. 02.11.2022 de dolar kuru 18.5. Paranın günü geldiğinde sadece ana para faizini aldım. Dolar kurumdan gelecek olan faizi alamadım. Hesap açtırdığım gün yaklaşı...,https://www.sikayetvar.com/halkbank/halkbank-kur-korumali-faizin-odenmemesi
İş Bankası Personellerinin Telefonla Konuşup İlgilenmemesi,İş Bankası Kartal sanayi şubesine hesap açmak için gittim. Sıra numaram gelince müşteri temsilcisine gittim e** e** isimli personel telefon ile başka bir müşteri için kredi başvurusu ile ilgileniyordu. Onu bekledim saçma bir şekilde devam etti anlayamadım. Neden benim sıram gelmiş numaram yanmış ve ...,https://www.sikayetvar.com/is-bankasi/is-bankasi-personellerinin-telefonla-konusup-ilgilenmemesi
İş Bankası Kredi Kartı Aidatı,İş Bankası'nın kaç yıllık eski çalışanıydım ve üniversiteden itibaren de müşterisiydim. İstifa ettikten 2 ay sonra kartıma hemen kredi kartı aidatı yansıtıldı. İade istedim etmediler. Müşteri temsilcisine durumu anlattım ama yapabileceği bir şey yokmuş. Yıllardır aktif kullandığım kartımı iptal etti...,https://www.sikayetvar.com/is-bankasi/is-bankasi-kredi-karti-aidati-1375
"İş Bankası 12.776,00 TL Telefon Faturaların Tarafımıza Ödenmesi","İş bankasına ait kullandığımız pos cihazı arızasından dolayı hiç kullanmadığımız sabit telefon için Ağustos ayında 689,75 TL Eylül ayında ise 11.539,25 TL ve Ekim ayında 547,00 TL toplamda 12.776,00TL faturaya sebebiyet verdi. Türk Telekom müdürlüğünden aldığımız bilgi; pos cihazı sürekli arama yapa...",https://www.sikayetvar.com/is-bankasi/is-bankasi-1277600-tl-telefon-faturalarin-tarafimiza-odenmesi
